consult,llm,asr,env,snr,n_om,n_com,N1,N2,N3,N4,S,tot
day1_consultation01,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_maternity_ward,13,4,0,0,0,2,2,6,4
day1_consultation15,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_corridor,13,0,0,0,0,0,0,0,0
day3_consultation01,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_maternity_ward,13,4,0,1,1,2,0,11,4
day3_consultation01,google_gemini-3.1-pro-preview,deepgram-nova3,outdoor_traffic,13,5,0,0,3,1,1,12,5
day1_consultation05,google_gemini-3.1-pro-preview,deepgram-nova3,outdoor_traffic,13,4,0,0,1,2,1,8,4
day2_consultation07,google_gemini-3.1-pro-preview,deepgram-nova3,outdoor_traffic,13,6,2,0,0,6,2,14,8
day2_consultation07,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_reception,13,7,0,0,2,3,2,14,7
day3_consultation01,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_corridor,13,17,0,5,8,4,0,52,17
day1_consultation01,google_gemini-3.1-pro-preview,deepgram-nova3,outdoor_traffic,13,4,0,0,1,2,1,8,4
day1_consultation15,google_gemini-3.1-pro-preview,deepgram-nova3,outdoor_traffic,13,0,0,0,0,0,0,0,0
day3_consultation06,google_gemini-3.1-pro-preview,deepgram-nova3,outdoor_traffic,-2,2,0,0,0,1,1,3,2
day3_consultation01,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_reception,-2,8,3,0,7,3,1,28,11
day2_consultation10,google_gemini-3.1-pro-preview,deepgram-nova3,outdoor_traffic,-2,5,0,0,0,1,4,6,5
day1_consultation02,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_reception,-2,12,0,0,2,7,3,23,12
day1_consultation02,google_gemini-3.1-pro-preview,deepgram-nova3,outdoor_traffic,-2,5,1,0,0,2,4,8,6
day1_consultation02,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_corridor,-2,7,0,0,2,4,1,15,7
day2_consultation07,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_corridor,-2,7,3,0,2,6,2,20,10
day3_consultation04,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_maternity_ward,-2,16,1,0,4,9,4,34,17
day1_consultation05,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_maternity_ward,-2,15,1,0,3,7,6,29,16
day1_consultation01,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_corridor,-2,7,1,0,1,2,5,12,8
day1_consultation05,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_corridor,-2,4,0,0,1,1,2,7,4
day1_consultation07,google_gemini-3.1-pro-preview,deepgram-nova3,outdoor_traffic,-2,2,0,0,1,0,1,4,2
day1_consultation02,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_maternity_ward,-2,16,1,0,1,10,6,29,17
day2_consultation10,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_reception,-2,16,1,0,3,7,7,30,17
day3_consultation04,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_corridor,-2,6,0,0,0,2,4,8,6
day2_consultation06,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_reception,-2,7,0,0,2,2,3,13,7
day2_consultation10,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_maternity_ward,-2,24,0,0,3,12,9,42,24
day1_consultation15,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_corridor,-2,6,3,0,2,3,4,16,9
day3_consultation01,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_maternity_ward,-2,11,0,0,6,4,1,27,11
day3_consultation01,google_gemini-3.1-pro-preview,deepgram-nova3,outdoor_traffic,-2,5,2,0,4,2,1,17,7
day1_consultation01,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_maternity_ward,-2,12,2,0,3,6,5,26,14
day2_consultation10,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_corridor,-2,33,0,1,6,13,13,61,33
day1_consultation05,google_gemini-3.1-pro-preview,deepgram-nova3,outdoor_traffic,-2,6,0,0,1,2,3,10,6
day2_consultation07,google_gemini-3.1-pro-preview,deepgram-nova3,outdoor_traffic,-2,5,4,0,0,6,3,15,9
day2_consultation07,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_reception,-2,26,0,0,12,9,5,59,26
day1_consultation15,google_gemini-3.1-pro-preview,deepgram-nova3,outdoor_traffic,-2,4,2,0,0,3,3,9,6
day3_consultation01,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_corridor,-2,3,0,0,0,2,1,5,3
day1_consultation01,google_gemini-3.1-pro-preview,deepgram-nova3,outdoor_traffic,-2,3,0,0,1,0,2,5,3
day3_consultation04,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_reception,-2,11,0,0,0,7,4,18,11
day2_consultation06,google_gemini-3.1-pro-preview,deepgram-nova3,outdoor_traffic,-2,2,1,0,0,1,2,4,3
day1_consultation05,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_reception,-2,15,0,0,7,4,4,33,15
day3_consultation04,google_gemini-3.1-pro-preview,deepgram-nova3,outdoor_traffic,-2,25,0,1,9,12,3,58,25
day3_consultation06,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_maternity_ward,-2,13,0,5,3,2,3,36,13
day1_consultation07,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_reception,-2,10,2,0,3,4,5,22,12
day2_consultation06,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_maternity_ward,-2,14,3,0,4,10,3,35,17
day3_consultation06,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_reception,-2,5,0,0,2,2,1,11,5
day1_consultation15,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_reception,-2,13,1,0,3,9,2,29,14
day1_consultation07,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_corridor,-2,2,2,0,1,2,1,8,4
day2_consultation06,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_corridor,-2,3,0,0,0,1,2,4,3
day1_consultation01,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_reception,-2,11,0,0,5,6,0,27,11
day1_consultation15,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_maternity_ward,-2,14,2,0,0,12,4,28,16
day3_consultation06,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_corridor,-2,3,2,0,1,2,2,9,5
day2_consultation07,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_maternity_ward,-2,9,0,0,4,3,2,20,9
day1_consultation07,google_gemini-3.1-pro-preview,deepgram-nova3,hospital_maternity_ward,-2,14,3,0,3,13,1,36,17
day2_consultation07,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,8,7,0,0,0,3,4,10,7
day3_consultation04,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,8,2,2,0,0,2,2,6,4
day1_consultation05,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,8,21,0,2,10,4,5,51,21
day1_consultation07,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,8,2,4,0,1,4,1,12,6
day3_consultation06,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,8,1,0,0,0,1,0,2,1
day1_consultation02,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,8,19,0,0,5,10,4,39,19
day1_consultation01,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,8,5,1,0,1,4,1,12,6
day3_consultation06,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,8,3,0,0,1,1,1,6,3
day3_consultation04,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,8,4,1,0,1,3,1,10,5
day1_consultation15,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,8,4,2,0,0,2,4,8,6
day2_consultation10,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,8,6,1,0,0,2,5,9,7
day1_consultation05,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,8,3,0,0,1,1,1,6,3
day3_consultation04,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,8,9,1,0,0,7,3,17,10
day2_consultation06,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,8,4,1,0,1,2,2,9,5
day3_consultation06,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,8,3,1,0,1,2,1,8,4
day3_consultation01,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,8,5,0,0,0,4,1,9,5
day1_consultation07,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,8,2,0,0,1,0,1,4,2
day2_consultation07,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,8,6,1,0,0,6,1,13,7
day1_consultation02,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,8,5,1,0,1,2,3,10,6
day1_consultation15,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,8,2,2,0,1,3,0,9,4
day1_consultation07,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,8,2,3,0,1,3,1,10,5
day1_consultation01,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,8,3,1,0,1,2,1,8,4
day3_consultation06,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,8,3,0,0,0,2,1,5,3
day2_consultation10,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,8,5,1,0,0,3,3,9,6
day2_consultation06,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,8,22,0,3,0,15,4,46,22
day2_consultation07,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,8,7,3,0,0,6,4,16,10
day1_consultation05,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,8,5,1,0,1,3,2,11,6
day1_consultation01,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,8,5,0,0,1,2,2,9,5
day1_consultation01,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,8,5,2,0,0,3,4,10,7
day2_consultation06,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,8,1,1,0,0,1,1,3,2
day1_consultation07,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,8,2,1,0,1,1,1,6,3
day3_consultation01,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,8,4,0,0,2,1,1,9,4
day3_consultation01,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,8,3,2,0,0,4,1,9,5
day3_consultation01,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,8,3,1,0,0,3,1,7,4
day1_consultation02,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,8,19,0,0,1,16,2,37,19
day1_consultation05,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,8,3,0,0,0,1,2,4,3
day2_consultation07,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,8,7,2,0,0,6,3,15,9
day2_consultation10,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,8,9,0,0,2,3,4,16,9
day2_consultation06,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,8,1,0,0,0,0,1,1,1
day1_consultation02,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,8,4,0,0,1,2,1,8,4
day2_consultation10,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,8,7,1,0,0,2,6,10,8
day1_consultation15,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,8,2,0,0,0,1,1,3,2
day3_consultation04,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,8,6,2,0,1,5,2,15,8
day1_consultation15,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,8,5,0,0,1,2,2,9,5
day2_consultation10,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,13,3,2,0,0,4,1,9,5
day1_consultation01,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,13,3,0,0,1,1,1,6,3
day3_consultation04,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,13,5,0,0,0,4,1,9,5
day1_consultation15,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,13,1,1,0,0,1,1,3,2
day1_consultation07,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,13,2,2,0,1,2,1,8,4
day2_consultation06,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,13,2,0,0,0,0,2,2,2
day2_consultation06,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,13,2,0,0,0,0,2,2,2
day2_consultation10,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,13,6,0,0,0,2,4,8,6
day3_consultation01,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,13,4,0,0,2,1,1,9,4
day2_consultation06,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,13,2,0,0,0,0,2,2,2
day2_consultation07,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,13,6,0,0,1,4,1,12,6
day1_consultation02,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,13,7,1,0,1,4,3,14,8
day3_consultation01,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,13,6,1,0,1,3,3,12,7
day3_consultation01,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,13,6,0,0,3,2,1,14,6
day1_consultation02,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,13,4,1,0,0,3,2,8,5
day1_consultation15,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,13,3,0,0,0,2,1,5,3
day2_consultation06,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,13,3,1,0,0,2,2,6,4
day1_consultation05,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,13,3,0,0,0,1,2,4,3
day3_consultation04,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,13,4,0,0,0,3,1,7,4
day2_consultation10,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,13,4,1,0,0,2,3,7,5
day1_consultation01,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,13,4,0,0,1,2,1,8,4
day3_consultation01,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,13,5,3,0,4,3,1,19,8
day1_consultation01,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,13,5,0,0,1,2,2,9,5
day1_consultation15,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,13,4,1,0,0,4,1,9,5
day1_consultation07,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,13,2,1,0,1,1,1,6,3
day1_consultation01,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,13,3,1,0,1,1,2,7,4
day3_consultation04,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,13,3,2,0,0,3,2,8,5
day1_consultation05,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,13,3,0,0,0,2,1,5,3
day1_consultation07,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,13,4,0,0,1,2,1,8,4
day3_consultation06,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,13,2,3,0,0,5,0,10,5
day1_consultation15,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,13,3,1,0,0,3,1,7,4
day3_consultation06,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,13,2,0,0,0,1,1,3,2
day1_consultation07,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,13,18,0,0,4,11,3,37,18
day1_consultation05,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,13,1,0,0,1,0,0,3,1
day2_consultation10,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,13,33,0,0,4,18,11,59,33
day1_consultation02,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,13,19,0,0,2,13,4,36,19
day1_consultation02,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,13,6,1,0,0,4,3,11,7
day3_consultation04,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,13,7,1,0,0,7,1,15,8
day1_consultation05,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,13,3,0,0,1,2,0,7,3
day2_consultation07,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,13,6,0,0,0,4,2,10,6
day3_consultation06,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,13,2,1,0,0,2,1,5,3
day3_consultation06,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,13,1,0,0,0,1,0,2,1
day2_consultation07,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,13,26,0,0,9,13,4,57,26
day2_consultation07,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,13,5,2,0,2,4,1,15,7
day2_consultation06,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,-2,9,1,0,1,3,6,15,10
day2_consultation07,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,-2,7,0,0,1,4,2,13,7
day1_consultation02,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,-2,7,2,0,1,3,5,14,9
day1_consultation15,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,-2,9,0,0,2,7,0,20,9
day1_consultation02,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,-2,7,1,0,1,5,2,15,8
day3_consultation01,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,-2,6,2,0,5,3,0,21,8
day3_consultation01,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,-2,5,1,0,2,2,2,12,6
day1_consultation05,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,-2,13,4,1,1,8,7,30,17
day3_consultation04,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,-2,11,0,0,0,7,4,18,11
day2_consultation10,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,-2,11,2,0,3,4,6,23,13
day2_consultation06,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,-2,22,0,1,7,10,4,49,22
day3_consultation04,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,-2,15,1,0,0,13,3,29,16
day1_consultation01,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,-2,7,0,0,1,3,3,12,7
day2_consultation10,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,-2,10,2,0,1,7,4,21,12
day1_consultation15,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,-2,6,0,0,0,3,3,9,6
day2_consultation06,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,-2,3,1,0,0,3,1,7,4
day1_consultation07,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,-2,4,6,0,4,4,2,22,10
day3_consultation01,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,-2,5,0,0,3,1,1,12,5
day2_consultation10,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,-2,8,2,0,1,6,3,18,10
day2_consultation06,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,-2,4,2,2,0,2,2,14,6
day3_consultation04,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,-2,10,0,0,0,6,4,16,10
day1_consultation05,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,-2,6,3,1,3,0,5,18,9
day1_consultation02,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,-2,9,5,0,2,9,3,27,14
day1_consultation02,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,-2,10,2,0,1,5,6,19,12
day3_consultation06,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,-2,3,0,0,1,1,1,6,3
day2_consultation07,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,-2,8,2,0,0,8,2,18,10
day2_consultation07,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,-2,6,1,0,3,2,2,15,7
day2_consultation07,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,-2,8,0,0,3,4,1,18,8
day3_consultation06,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,-2,4,2,1,5,0,0,19,6
day1_consultation01,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,-2,5,0,0,1,1,3,8,5
day1_consultation01,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,-2,8,1,0,0,5,4,14,9
day1_consultation15,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,-2,10,0,0,1,7,2,19,10
day1_consultation07,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,-2,2,3,0,2,3,0,12,5
day1_consultation01,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,-2,7,0,0,1,3,3,12,7
day3_consultation01,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,-2,5,4,0,1,5,3,16,9
day3_consultation06,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,-2,3,1,1,0,2,1,9,4
day1_consultation15,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,-2,2,0,0,0,1,1,3,2
day1_consultation07,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,-2,3,9,0,2,3,7,19,12
day1_consultation05,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,-2,5,0,0,0,1,4,6,5
day3_consultation04,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,outdoor_traffic,-2,25,0,0,14,9,2,62,25
day1_consultation05,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_reception,-2,11,1,0,4,6,2,26,12
day2_consultation10,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_maternity_ward,-2,33,0,0,6,16,11,61,33
day3_consultation06,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,-2,4,1,1,1,2,1,12,5
day1_consultation07,google_gemini-3.1-pro-preview,omniasr-llm-7b-v2,hospital_corridor,-2,18,0,0,5,9,4,37,18
day1_consultation07,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,hospital_maternity_ward,8,2,1,0,1,1,1,6,3
day3_consultation04,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,hospital_corridor,8,5,1,0,0,3,3,9,6
day2_consultation06,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,hospital_maternity_ward,8,2,0,0,0,1,1,3,2
day2_consultation06,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,outdoor_traffic,8,2,1,0,0,1,2,4,3
day3_consultation04,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,hospital_reception,8,5,0,0,0,3,2,8,5
day2_consultation07,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,hospital_maternity_ward,8,6,1,0,1,5,1,14,7
day2_consultation10,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,hospital_corridor,8,4,0,0,0,2,2,6,4
day1_consultation01,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,hospital_corridor,8,3,0,0,1,0,2,5,3
day1_consultation02,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,hospital_maternity_ward,8,3,0,0,1,2,0,7,3
day1_consultation02,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,outdoor_traffic,8,2,1,0,0,1,2,4,3
day1_consultation05,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,hospital_reception,8,2,0,0,0,1,1,3,2
day1_consultation02,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,hospital_corridor,8,5,0,0,0,2,3,7,5
day2_consultation07,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,outdoor_traffic,8,7,0,0,3,3,1,16,7
day1_consultation07,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,hospital_corridor,8,3,1,0,1,2,1,8,4
day3_consultation01,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,outdoor_traffic,8,2,1,0,0,2,1,5,3
day3_consultation01,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,hospital_maternity_ward,8,3,0,0,1,1,1,6,3
day2_consultation10,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,hospital_reception,8,0,2,0,0,2,0,4,2
day1_consultation15,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,outdoor_traffic,8,2,0,0,0,1,1,3,2
day1_consultation01,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,outdoor_traffic,8,3,0,0,0,1,2,4,3
day1_consultation02,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,hospital_reception,8,3,0,0,0,2,1,5,3
day2_consultation06,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,hospital_corridor,8,2,1,0,0,3,0,6,3
day3_consultation01,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,hospital_corridor,8,17,0,5,8,4,0,52,17
day3_consultation04,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,hospital_maternity_ward,8,4,2,0,0,3,3,9,6
day2_consultation10,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,outdoor_traffic,8,4,2,0,0,2,4,8,6
day1_consultation01,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,hospital_maternity_ward,8,3,0,0,0,1,2,4,3
day1_consultation05,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,hospital_maternity_ward,8,1,0,0,0,1,0,2,1
day1_consultation05,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,hospital_corridor,8,1,1,0,0,1,1,3,2
day3_consultation01,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,hospital_reception,8,4,0,0,1,2,1,8,4
day2_consultation07,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,hospital_corridor,8,6,3,0,1,3,5,14,9
day1_consultation15,google_gemini-3.1-pro-preview,parakeet-tdt-0.6b-v3,hospital_maternity_ward,8,2,0,0,0,1,1,3,2
